City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Thompson,CA,2020-06-27 20:48:43,55.74,-97.86,71.6,64,90,2.24
70,Tessalit,ML,2020-06-27 20:48:43,20.2,1.01,97.29,9,61,3.8
71,Pombia,IT,2020-06-27 20:48:43,45.65,8.63,75.2,73,54,5.82
72,Cabra,ES,2020-06-27 20:48:43,37.47,-4.44,82.0,35,0,3.94
73,Beloha,MG,2020-06-27 20:48:43,-25.17,45.05,64.63,89,0,6.08
74,Sao Joao Da Barra,BR,2020-06-27 20:48:44,-21.64,-41.05,77.0,69,2,11.41
75,Lagunas,PE,2020-06-27 20:48:44,-5.23,-75.68,80.13,91,97,2.55
76,Makokou,GA,2020-06-27 20:48:44,0.57,12.86,70.57,92,43,0.69
77,Brownwood,US,2020-06-27 20:48:44,31.71,-98.99,91.4,36,40,16.11
78,Bassano,CA,2020-06-27 20:48:44,50.78,-112.47,69.01,54,83,4.0
79,Tautira,PF,2020-06-27 20:48:44,-17.73,-149.15,80.6,69,75,3.36
80,Port Elizabeth,ZA,2020-06-27 20:48:44,-33.92,25.57,57.2,87,100,24.16
81,Tuktoyaktuk,CA,2020-06-27 20:48:44,69.45,-133.04,37.4,93,90,20.8
82,Tashtyp,RU,2020-06-27 20:48:44,52.79,89.9,58.68,86,63,4.38
83,Fortuna,US,2020-06-27 20:48:44,40.6,-124.16,63.0,87,40,14.99
84,Santo Domingo,DO,2020-06-27 20:45:54,18.5,-69.99,93.2,59,40,11.41
85,Port-Gentil,GA,2020-06-27 20:48:44,-0.72,8.78,75.2,88,40,8.05
86,Hermanus,ZA,2020-06-27 20:48:44,-34.42,19.23,54.0,85,57,1.01
87,Hualmay,PE,2020-06-27 20:46:53,-11.1,-77.61,67.64,69,85,10.09
88,Bethel,US,2020-06-27 20:46:39,41.37,-73.41,72.0,88,90,9.17
89,Batagay-Alyta,RU,2020-06-27 20:48:44,67.8,130.41,69.98,55,6,3.56
90,Makakilo City,US,2020-06-27 20:48:44,21.35,-158.09,84.2,58,75,6.55
91,Port Alfred,ZA,2020-06-27 20:46:38,-33.59,26.89,62.29,61,80,26.62
92,Cervo,ES,2020-06-27 20:48:44,43.67,-7.41,64.0,82,16,4.0
93,Kamenka,RU,2020-06-27 20:48:44,51.32,42.77,66.0,72,0,1.01
94,Sao Filipe,CV,2020-06-27 20:48:44,14.9,-24.5,74.39,82,0,9.95
95,Visselhovede,DE,2020-06-27 20:48:44,52.98,9.6,69.01,90,10,1.99
96,Myanaung,MM,2020-06-27 20:48:45,18.28,95.32,76.28,87,98,4.18
97,Mtambile,TZ,2020-06-27 20:48:45,-5.38,39.7,76.91,83,0,11.52
98,Houma,US,2020-06-27 20:48:45,29.6,-90.72,89.01,79,40,9.17
99,Kawalu,ID,2020-06-27 20:48:45,-7.38,108.21,70.66,93,56,1.19
100,Kuytun,RU,2020-06-27 20:48:45,54.34,101.5,55.74,96,90,3.29
101,Rapid Valley,US,2020-06-27 20:48:45,44.06,-103.15,91.4,29,1,16.11
102,Joroan,PH,2020-06-27 20:48:45,13.49,123.62,79.66,83,100,6.78
103,Maraba,BR,2020-06-27 20:48:45,-5.37,-49.12,95.0,41,40,3.36
104,Kalachinsk,RU,2020-06-27 20:48:45,55.05,74.58,49.69,97,98,6.11
105,Lixourion,GR,2020-06-27 20:48:45,38.2,20.43,73.51,75,0,6.93
106,Inhambane,MZ,2020-06-27 20:48:45,-23.86,35.38,67.95,57,0,10.02
107,Ferme-Neuve,CA,2020-06-27 20:48:45,46.7,-75.45,68.65,93,100,6.06
108,Ayacucho,PE,2020-06-27 20:48:45,-13.16,-74.22,70.07,25,54,3.58
109,Saint George,US,2020-06-27 20:48:45,37.1,-113.58,100.99,9,1,12.75
110,Turukhansk,RU,2020-06-27 20:48:45,65.82,87.98,64.04,74,52,11.9
111,Ocos,GT,2020-06-27 20:48:45,14.51,-92.19,93.2,70,20,9.17
112,Andapa,MG,2020-06-27 20:48:45,-14.65,49.65,62.26,90,31,2.66
113,San Quintin,MX,2020-06-27 20:47:01,30.48,-115.95,70.65,67,5,11.95
114,Abonnema,NG,2020-06-27 20:48:45,4.71,6.79,75.67,87,100,6.82
115,Kapaa,US,2020-06-27 20:48:45,22.08,-159.32,82.99,69,20,13.87
116,Baykit,RU,2020-06-27 20:48:46,61.67,96.37,63.19,64,100,3.0
117,El Penon,CO,2020-06-27 20:48:46,8.99,-73.95,88.0,73,55,5.46
118,Pivijay,CO,2020-06-27 20:48:46,10.46,-74.62,89.6,66,75,9.17
119,Cherskiy,RU,2020-06-27 20:48:46,68.75,161.3,40.15,68,0,13.04
120,Severo-Kurilsk,RU,2020-06-27 20:48:46,50.68,156.12,52.12,59,97,9.95
121,San Carlos De Bariloche,AR,2020-06-27 20:47:35,-41.15,-71.31,32.0,95,90,4.7
122,Mount Isa,AU,2020-06-27 20:48:46,-20.73,139.5,53.6,37,0,5.82
123,Yar-Sale,RU,2020-06-27 20:48:46,66.83,70.83,44.26,77,0,8.99
124,Deori Khas,IN,2020-06-27 20:48:46,23.4,79.02,82.09,71,100,9.84
125,Cidreira,BR,2020-06-27 20:46:41,-30.18,-50.21,56.44,64,56,8.14
126,Gonda,IN,2020-06-27 20:48:46,27.13,81.93,85.48,70,86,2.01
127,Catamarca,AR,2020-06-27 20:48:46,-28.47,-65.79,59.0,59,93,1.92
128,Atuona,PF,2020-06-27 20:46:29,-9.8,-139.03,79.9,75,3,10.2
129,Turochak,RU,2020-06-27 20:48:46,52.26,87.12,58.82,90,68,2.55
130,San Patricio,MX,2020-06-27 20:48:46,19.22,-104.7,91.4,59,75,5.82
131,Provideniya,RU,2020-06-27 20:48:46,64.38,-173.3,39.2,74,96,10.78
132,Lufilufi,WS,2020-06-27 20:48:46,-13.87,-171.6,78.8,94,75,3.36
133,Bengkulu,ID,2020-06-27 20:47:02,-3.8,102.27,76.55,84,92,3.69
134,Chokurdakh,RU,2020-06-27 20:46:48,70.63,147.92,54.52,41,100,13.85
135,Sept-Iles,CA,2020-06-27 20:48:46,50.2,-66.38,68.0,68,75,12.75
136,Udachnyy,RU,2020-06-27 20:48:46,66.42,112.4,62.6,67,78,2.24
137,Luderitz,NA,2020-06-27 20:48:46,-26.65,15.16,57.2,71,0,13.87
138,Georgetown,MY,2020-06-27 20:48:46,5.41,100.34,82.4,94,20,4.7
139,Nome,US,2020-06-27 20:48:46,64.5,-165.41,44.6,93,90,21.92
140,Pacific Grove,US,2020-06-27 20:44:55,36.62,-121.92,75.99,68,1,11.41
141,Lodja,CD,2020-06-27 20:48:46,-3.48,23.43,78.55,53,85,1.68
142,Calvinia,ZA,2020-06-27 20:48:46,-31.47,19.78,47.08,90,100,21.74
143,Verkhnevilyuysk,RU,2020-06-27 20:48:46,63.45,120.32,67.3,65,53,1.07
144,Mount Gambier,AU,2020-06-27 20:48:35,-37.83,140.77,39.2,93,0,9.17
145,Lebu,CL,2020-06-27 20:48:47,-37.62,-73.65,53.46,84,100,9.64
146,Abu Dhabi,AE,2020-06-27 20:45:04,24.47,54.37,93.2,75,40,4.7
147,Bandarbeyla,SO,2020-06-27 20:48:47,9.49,50.81,81.34,70,96,29.24
148,Vila Velha,BR,2020-06-27 20:48:47,-20.33,-40.29,78.8,69,9,12.75
149,Lasa,IT,2020-06-27 20:48:47,46.62,10.7,60.8,67,75,2.24
150,Solnechnyy,RU,2020-06-27 20:48:47,50.72,136.63,59.9,73,55,4.0
151,Lorengau,PG,2020-06-27 20:48:47,-2.02,147.27,82.6,79,95,9.42
152,Shishou,CN,2020-06-27 20:48:47,29.72,112.42,79.07,85,100,9.91
153,Itoman,JP,2020-06-27 20:48:47,26.12,127.67,82.4,88,75,13.87
154,Marawi,PH,2020-06-27 20:48:47,8.0,124.29,73.99,95,87,7.0
155,Paducah,US,2020-06-27 20:45:14,37.08,-88.6,87.8,62,40,8.05
156,Beba,CU,2020-06-27 20:48:47,22.44,-79.73,89.6,62,40,18.34
157,Mahebourg,MU,2020-06-27 20:46:39,-20.41,57.7,69.8,88,40,11.41
158,Torbay,CA,2020-06-27 20:44:04,47.67,-52.73,55.0,87,90,5.82
159,Puerto El Triunfo,SV,2020-06-27 20:48:47,13.28,-88.55,95.0,55,20,7.56
160,Richards Bay,ZA,2020-06-27 20:48:47,-28.78,32.04,65.46,70,0,12.28
161,Narsaq,GL,2020-06-27 20:46:50,60.92,-46.05,55.4,50,64,8.05
162,Tabou,CI,2020-06-27 20:46:34,4.42,-7.35,75.65,83,84,9.26
163,Esperance,AU,2020-06-27 20:48:47,-33.87,121.9,55.4,58,90,13.87
164,Pushkar,IN,2020-06-27 20:48:47,26.5,74.55,88.38,51,0,17.45
165,Bafra,TR,2020-06-27 20:48:47,41.57,35.91,73.4,64,20,14.99
166,Nata,PA,2020-06-27 20:48:47,8.33,-80.52,82.56,78,100,6.85
167,Nsoko,SZ,2020-06-27 20:48:48,-27.03,31.95,53.6,76,0,6.33
168,Ankang,CN,2020-06-27 20:48:48,32.68,109.02,72.37,90,100,0.22
169,Coracora,PE,2020-06-27 20:48:48,-15.03,-73.78,59.92,30,0,6.67
170,Sitka,US,2020-06-27 20:48:48,57.05,-135.33,57.2,76,75,6.93
171,Constitucion,CL,2020-06-27 20:48:48,-35.33,-72.42,55.15,83,100,1.52
172,Sorland,NO,2020-06-27 20:48:48,67.67,12.69,55.27,73,94,20.22
173,Nha Trang,VN,2020-06-27 20:48:48,12.25,109.18,84.2,79,40,11.41
174,Puerto Madryn,AR,2020-06-27 20:48:48,-42.77,-65.04,39.42,68,0,3.76
175,Hobyo,SO,2020-06-27 20:48:48,5.35,48.53,79.21,73,100,25.46
176,Ancud,CL,2020-06-27 20:48:48,-41.87,-73.82,48.99,100,90,5.82
177,Husavik,IS,2020-06-27 20:48:48,66.04,-17.34,48.2,93,90,9.17
178,Pisco,PE,2020-06-27 20:48:46,-13.7,-76.22,64.99,82,6,9.17
179,Thessalon,CA,2020-06-27 20:48:48,46.25,-83.57,69.8,68,1,6.93
180,Hamilton,US,2020-06-27 20:47:51,39.18,-84.53,80.01,74,75,12.75
181,San Joaquin,VE,2020-06-27 20:48:48,10.26,-67.79,79.57,76,63,9.6
182,Saint Anthony,US,2020-06-27 20:48:48,45.02,-93.22,87.01,37,1,7.81
183,Bredasdorp,ZA,2020-06-27 20:46:32,-34.53,20.04,57.2,71,58,21.92
184,Manggar,ID,2020-06-27 20:48:48,-2.88,108.27,80.92,80,80,12.06
185,Tasiilaq,GL,2020-06-27 20:48:48,65.61,-37.64,44.6,93,75,9.17
186,Port Lincoln,AU,2020-06-27 20:46:33,-34.73,135.87,52.27,51,0,10.94
187,Seda,LV,2020-06-27 20:48:48,57.65,25.75,69.04,73,96,2.82
188,Daru,PG,2020-06-27 20:47:15,-9.08,143.21,77.4,85,73,16.87
189,Dickinson,US,2020-06-27 20:48:49,29.46,-95.05,90.0,70,75,14.99
190,Geraldton,AU,2020-06-27 20:48:49,-28.77,114.6,59.0,93,0,11.41
191,Talnakh,RU,2020-06-27 20:48:49,69.49,88.4,57.2,93,69,6.71
192,Vyazma,RU,2020-06-27 20:48:49,55.21,34.3,63.3,93,43,7.2
193,Touros,BR,2020-06-27 20:48:49,-5.2,-35.46,77.0,88,40,11.41
194,Eureka,US,2020-06-27 20:46:59,40.8,-124.16,68.0,20,43,4.0
195,Macas,EC,2020-06-27 20:48:49,-2.32,-78.12,78.8,54,40,5.82
196,San Diego,US,2020-06-27 20:46:25,32.72,-117.16,81.0,60,20,8.05
197,Karratha,AU,2020-06-27 20:48:49,-20.74,116.85,66.69,29,0,7.09
198,Marsh Harbour,BS,2020-06-27 20:45:00,26.54,-77.06,83.68,66,0,7.43
199,Laguna,US,2020-06-27 20:48:49,38.42,-121.42,88.0,37,1,13.87
200,Lata,PT,2020-06-27 20:48:49,40.16,-8.33,70.0,85,16,5.01
201,Dauriya,RU,2020-06-27 20:48:49,49.93,116.87,63.03,51,73,3.85
202,Tiksi,RU,2020-06-27 20:46:55,71.69,128.87,54.3,70,59,11.52
