City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description,Rain (inches),Snow (inches)
221,Rawson,-43.3,-65.1,41.07,66,100,1.72,AR,2020-06-28 16:17:36,overcast clouds,0.0,0.0
222,Baltatesti,47.12,26.3,82.99,64,78,2.98,RO,2020-06-28 16:17:36,light rain,0.29,0.0
223,Bathsheba,13.22,-59.52,87.8,70,40,13.87,BB,2020-06-28 16:17:37,scattered clouds,0.0,0.0
224,Atar,20.52,-13.05,112.37,6,0,20.42,MR,2020-06-28 16:17:37,clear sky,0.0,0.0
225,Petrolina,-9.4,-40.5,84.2,48,20,11.41,BR,2020-06-28 16:17:37,few clouds,0.0,0.0
226,Tuatapere,-46.13,167.68,45.0,83,97,5.41,NZ,2020-06-28 16:17:37,overcast clouds,0.0,0.0
227,Port Hedland,-20.32,118.57,66.2,59,9,3.36,AU,2020-06-28 16:17:37,clear sky,0.0,0.0
228,Mackay,-21.15,149.2,64.4,88,40,9.17,AU,2020-06-28 16:17:37,scattered clouds,0.0,0.0
229,Amapa,1.0,-52.0,85.96,63,93,4.85,BR,2020-06-28 16:17:37,light rain,0.38,0.0
230,Les Cayes,18.2,-73.75,88.54,60,100,8.86,HT,2020-06-28 16:17:37,overcast clouds,0.0,0.0
231,Alice Springs,-23.7,133.88,39.2,51,0,7.02,AU,2020-06-28 16:17:37,clear sky,0.0,0.0
232,Naze,28.37,129.48,78.8,94,93,6.93,JP,2020-06-28 16:17:37,overcast clouds,0.0,0.0
233,Cap Malheureux,-19.98,57.61,73.99,75,15,5.99,MU,2020-06-28 16:17:37,few clouds,0.0,0.0
234,Taltal,-25.4,-70.48,64.42,58,100,5.21,CL,2020-06-28 16:17:28,overcast clouds,0.0,0.0
235,Lagoa,39.05,-27.98,68.43,91,100,6.44,PT,2020-06-28 16:17:37,overcast clouds,0.0,0.0
236,Sterling,39.01,-77.43,87.01,58,75,11.41,US,2020-06-28 16:17:37,broken clouds,0.0,0.0
237,Caravelas,-17.71,-39.25,79.66,63,0,7.94,BR,2020-06-28 16:17:37,clear sky,0.0,0.0
238,Ponta Do Sol,32.67,-17.1,73.99,72,4,8.99,PT,2020-06-28 16:17:37,clear sky,0.0,0.0
239,Dinguiraye,11.3,-10.72,91.18,46,41,2.98,GN,2020-06-28 16:17:37,scattered clouds,0.0,0.0
240,Hamilton,39.18,-84.53,73.99,88,75,6.93,US,2020-06-28 16:13:21,broken clouds,0.0,0.0
241,Port Lincoln,-34.73,135.87,52.54,56,0,10.83,AU,2020-06-28 16:16:15,clear sky,0.0,0.0
242,Beloha,-25.17,45.05,67.12,87,0,3.78,MG,2020-06-28 16:17:37,clear sky,0.0,0.0
243,Ayagoz,47.97,80.44,57.33,43,75,8.57,KZ,2020-06-28 16:17:37,broken clouds,0.0,0.0
244,Portland,45.52,-122.68,60.01,62,75,8.05,US,2020-06-28 16:17:37,broken clouds,0.0,0.0
245,Ustka,54.58,16.86,72.9,75,100,5.14,PL,2020-06-28 16:15:10,overcast clouds,0.0,0.0
246,Santa Cruz,-17.8,-63.17,62.6,72,90,9.17,BO,2020-06-28 16:17:38,overcast clouds,0.0,0.0
247,Pangnirtung,66.15,-65.71,48.31,62,48,4.32,CA,2020-06-28 16:17:38,scattered clouds,0.0,0.0
248,Alofi,-19.06,-169.92,75.2,88,62,2.24,NU,2020-06-28 16:17:38,broken clouds,0.0,0.0
249,Waitati,-45.75,170.57,45.0,80,100,25.01,NZ,2020-06-28 16:17:38,overcast clouds,0.0,0.0
250,Darnah,32.77,22.64,76.87,71,0,19.55,LY,2020-06-28 16:17:38,clear sky,0.0,0.0
251,Bethel,41.37,-73.41,84.0,61,75,5.82,US,2020-06-28 16:17:03,broken clouds,0.0,0.0
252,Geraldton,-28.77,114.6,68.0,72,75,23.04,AU,2020-06-28 16:17:38,broken clouds,0.0,0.0
253,Saint-Paul,-21.01,55.27,71.6,78,90,12.75,RE,2020-06-28 16:17:38,overcast clouds,0.0,0.0
254,Coquimbo,-29.95,-71.34,55.4,82,75,3.36,CL,2020-06-28 16:17:38,broken clouds,0.0,0.0
255,Nkhotakota,-12.93,34.3,72.37,68,3,3.27,MW,2020-06-28 16:17:38,clear sky,0.0,0.0
