City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
473,Fenton,US,82.4,42.8,-83.7,
475,Kalmunai,LK,84.69,7.42,81.82,
476,Basti,IN,80.94,26.8,82.72,
478,Tongliao,CN,75.6,43.61,122.27,
479,Abha,SA,87.8,18.22,42.51,
481,Itoman,JP,82.4,26.12,127.67,
485,Tinton Falls,US,84.99,40.3,-74.1,
489,Fare,PF,76.75,-16.7,-151.02,
492,Gushikawa,JP,82.4,26.35,127.87,
493,San Cristobal,VE,87.8,7.77,-72.22,
499,Bantou,CN,78.24,26.22,117.49,
502,Garden City,US,82.99,42.33,-83.33,
503,Masakin,TN,82.4,35.73,10.58,
505,Siniscola,IT,86.0,40.57,9.69,
506,Dryden,CA,78.8,49.78,-92.75,
515,Lufilufi,WS,80.85,-13.87,-171.6,
519,San Andres,CO,86.0,12.58,-81.7,
525,Neyshabur,IR,75.47,36.21,58.8,
526,Kirchbichl,AT,80.6,47.51,12.1,
531,Komsomolskiy,UZ,75.2,40.43,71.72,
537,Santona,ES,78.8,43.44,-3.46,
538,Lastoursville,GA,88.54,-0.81,12.73,
541,Santa Rosa,PH,79.0,14.31,121.11,
542,Sola,VU,77.0,-13.88,167.55,
543,Dawei,MM,78.64,14.08,98.2,
544,Karachi,PK,89.6,24.91,67.08,
